Students_name,Students_id,Students_email,Students_phone
Arthur Morgan,AD117001,arthur.morgan.AD117001@gta.in,+1-555-728-4134
Carl Johnson,AD117002,carl.johnson.AD117002@gta.in,+1-555-402-8511
Claude,AD117003,claude.AD117003@gta.in,+1-555-431-9030
Franklin Clinton,AD117004,franklin.clinton.AD117004@gta.in,+1-555-301-7394
Huang Lee,AD117005,huang.lee.AD117005@gta.in,+1-555-864-4963
Jason Duval,AD117006,jason.duval.AD117006@gta.in,+1-555-645-7023
Jimmy Hopkins,AD117007,jimmy.hopkins.AD117007@gta.in,+1-555-110-9122
John Marston,AD117008,john.marston.AD117008@gta.in,+1-555-372-9676
Johnny Klebitz,AD117009,johnny.klebitz.AD117009@gta.in,+1-555-663-1568
Lucia Caminos,AD117010,lucia.caminos.AD117010@gta.in,+1-555-426-7609
Luis Lopez,AD117011,luis.lopez.AD117011@gta.in,+1-555-432-6691
Michael De Santa,AD117012,michael.de.santa.AD117012@gta.in,+1-555-316-7406
Mike,AD117013,mike.AD117013@gta.in,+1-555-889-7442
Niko Bellic,AD117014,niko.bellic.AD117014@gta.in,+1-555-566-1814
Tommy Vercetti,AD117015,tommy.vercetti.AD117015@gta.in,+1-555-274-6771
Toni Cipriani,AD117016,toni.cipriani.AD117016@gta.in,+1-555-583-4586
Trevor Philips,AD117017,trevor.philips.AD117017@gta.in,+1-555-581-3261
Victor Vance,AD117018,victor.vance.AD117018@gta.in,+1-555-569-5569
